bhuman/GameController	jankotek/mapdb	junit-team/junit	ornicar/lila	niklasf/python-chess	
3	64	137	12	2	
3	64	137	12	2	
3	64	137	12	2	
3	65	138	12	2	
3	67	138	12	3	
3	67	138	12	3	
3	67	138	12	3	
3	66	140	12	3	
3	65	141	11	3	
3	66	141	11	3	
3	66	138	11	3	
3	66	138	11	3	
3	66	138	11	3	
3	67	136	11	3	
3	67	136	11	3	
3	67	135	11	3	
3	67	135	11	3	
3	68	136	11	4	
3	67	136	11	3	
3	67	135	12	3	
3	67	135	11	3	
3	67	135	11	3	
3	68	138	12	3	
3	68	137	12	3	
3	68	139	12	3	
3	69	140	12	3	
3	70	140	12	3	
3	70	140	12	3	
3	70	139	12	3	
3	71	139	12	3	
3	71	139	14	2	
3	71	141	23	2	
3	71	141	23	2	
3	71	141	23	2	
3	72	141	23	2	
3	72	145	23	2	
3	73	146	23	2	
3	73	146	23	2	
3	73	145	23	2	
3	73	146	23	2	
3	73	147	23	2	
3	73	147	23	2	
3	73	147	23	2	
3	73	146	23	2	
3	73	147	24	2	
3	74	147	21	2	
3	74	148	21	2	
3	74	148	22	2	
3	74	148	22	2	
3	73	148	23	2	
3	74	148	23	2	
3	74	148	23	2	
3	69	150	23	2	
3	69	152	23	2	
3	69	152	23	2	
3	71	149	23	2	
3	72	149	23	2	
3	71	148	23	2	
3	71	143	23	2	
3	71	141	23	2	
3	71	141	23	2	
3	71	140	23	2	
3	71	141	23	2	
3	71	141	23	2	
3	71	141	23	2	
3	71	141	23	2	
3	71	141	24	2	
3	73	142	25	2	
3	74	142	26	2	
3	75	142	25	2	
3	77	143	25	2	
3	77	143	25	2	
3	78	144	25	2	
3	79	146	25	2	
3	79	147	25	2	
3	79	147	25	2	
3	82	148	25	2	
3	82	148	25	3	
3	82	148	25	3	
3	84	148	25	3	
3	83	149	25	3	
3	85	149	25	4	
3	85	150	25	4	
3	87	150	25	3	
3	87	150	25	3	
3	87	150	25	3	
3	87	153	25	3	
3	87	147	25	3	
3	87	147	25	3	
3	87	147	25	3	
3	87	150	25	3	
3	87	152	25	3	
3	87	150	25	4	
3	88	151	25	5	
3	91	147	26	4	
3	91	148	26	5	
3	91	149	26	4	
3	91	146	26	5	
3	91	147	27	4	
3	91	150	27	4	
3	91	149	27	4	
3	92	146	27	4	
3	93	146	27	4	
3	94	147	28	4	
3	94	148	27	4	
3	94	150	27	4	
3	94	149	27	4	
3	94	150	27	3	
3	94	150	27	3	
3	94	150	27	3	
3	94	150	28	3	
3	94	150	28	3	
3	95	151	30	3	
3	95	151	30	3	
3	96	150	31	5	
3	96	150	31	5	
3	96	150	31	5	
3	98	152	31	5	
3	98	153	32	5	
3	98	154	32	5	
3	98	154	32	5	
3	97	154	32	5	
3	99	155	31	3	
3	99	156	31	3	
3	99	156	31	3	
3	99	155	31	3	
3	99	155	30	3	
3	99	156	30	4	
3	99	160	30	3	
3	99	160	30	3	
3	98	160	30	3	
3	98	161	30	3	
3	99	159	30	3	
3	99	159	30	3	
3	99	160	30	3	
3	99	160	29	3	
3	99	160	29	3	
3	101	160	29	3	
3	102	162	29	3	
3	103	162	29	4	
3	102	162	29	4	
3	98	162	29	4	
3	98	162	29	4	
3	99	163	29	4	
3	99	163	29	4	
3	99	163	27	4	
3	99	164	27	4	
3	99	164	27	4	
3	99	166	27	4	
3	99	167	27	4	
3	101	167	27	4	
3	101	167	27	4	
3	100	167	27	4	
3	99	167	27	4	
3	99	167	25	4	
3	99	167	26	4	
3	99	167	26	4	
3	98	167	26	3	
3	90	168	26	4	
3	90	168	26	4	
3	89	168	26	4	
3	90	168	26	3	
3	90	168	26	3	
3	92	168	29	4	
3	92	168	29	4	
3	94	168	29	4	
3	94	169	30	4	
3	94	170	20	4	
3	94	170	18	4	
3	94	170	22	4	
3	94	170	20	4	
3	94	171	20	4	
3	97	171	23	4	
3	97	171	26	4	
3	97	171	34	5	
3	94	171	35	5	
3	94	171	33	5	
3	94	172	33	5	
3	94	172	34	5	
3	95	172	32	5	
3	95	172	32	5	
3	96	172	35	5	
3	96	172	39	5	
3	96	172	37	5	
3	96	172	38	6	
3	97	171	44	6	
3	97	171	42	6	
3	98	172	50	6	
3	99	172	51	6	
3	101	172	47	6	
3	102	172	48	6	
3	104	172	46	6	
3	104	172	44	6	
3	104	172	44	6	
3	105	172	49	5	
3	106	172	49	5	
3	106	172	50	5	
3	106	172	46	5	
3	106	172	46	5	
3	106	170	48	6	
3	107	170	48	6	
3	108	170	53	6	
3	107	171	50	6	
3	107	172	53	6	
3	107	172	52	6	
3	105	172	55	6	
3	106	173	59	5	
3	106	173	58	5	
3	106	173	57	5	
3	108	173	56	6	
3	107	173	58	9	
3	107	173	58	7	
3	109	173	58	7	
3	110	173	58	7	
3	112	173	59	7	
3	111	173	59	5	
3	111	173	60	5	
3	110	173	63	5	
3	111	174	65	5	
3	113	175	65	6	
3	113	176	63	6	
3	114	176	64	6	
3	115	176	65	6	
3	116	176	66	6	
3	116	176	65	6	
3	117	176	64	6	
3	118	176	64	6	
3	119	176	66	6	
3	116	175	67	6	
3	117	176	67	6	
3	114	176	68	6	
3	115	174	72	4	
3	101	173	73	4	
3	99	173	73	4	
3	100	171	73	4	
3	98	171	72	4	
3	101	170	73	5	
3	101	170	73	5	
3	102	170	73	5	
3	102	171	74	5	
3	103	171	77	6	
3	103	171	77	6	
3	103	172	78	5	
3	103	173	77	5	
3	103	175	78	6	
3	103	174	77	6	
3	104	178	77	6	
3	104	177	75	6	
3	102	177	75	6	
3	102	178	75	6	
3	103	178	74	6	
3	103	179	73	6	
3	107	180	71	6	
3	106	180	70	6	
3	106	181	71	6	
3	106	180	71	6	
3	107	180	70	6	
3	105	180	71	6	
3	106	180	75	6	
3	106	182	77	6	
3	106	180	75	6	
3	106	180	75	6	
3	107	181	77	6	
3	107	181	78	6	
3	107	181	76	6	
3	109	181	75	6	
3	110	180	75	6	
3	110	180	77	6	
3	116	180	78	6	
3	116	181	76	6	
3	117	181	76	6	
3	117	181	79	6	
3	117	181	76	5	
3	117	181	75	5	
3	117	181	76	5	
3	117	182	77	5	
3	117	182	75	5	
3	117	183	71	5	
3	113	184	71	6	
3	109	184	71	5	
3	109	185	73	5	
3	109	188	73	5	
3	109	188	75	5	
3	110	188	73	5	
3	110	188	73	5	
3	110	188	71	5	
3	97	188	73	5	
3	97	184	72	5	
3	97	185	77	5	
3	96	185	78	5	
3	96	186	76	5	
3	96	187	71	5	
3	97	187	74	5	
3	98	190	76	5	
3	89	190	76	5	
3	89	190	81	5	
3	86	190	84	5	
3	86	188	83	5	
3	86	188	84	5	
3	86	189	84	5	
3	86	184	83	5	
3	86	183	83	5	
3	86	183	87	5	
3	86	179	87	5	
3	87	179	87	5	
3	88	179	88	5	
3	89	179	85	5	
3	89	178	85	5	
3	89	177	80	5	
3	89	177	81	5	
3	89	177	83	5	
3	89	176	85	5	
3	89	174	87	5	
3	89	173	85	5	
3	90	168	87	5	
3	90	167	90	5	
3	90	167	92	5	
3	90	167	95	5	
3	83	167	93	5	
3	79	167	93	5	
3	80	167	94	5	
3	80	167	97	5	
3	80	167	95	5	
3	80	167	94	5	
3	79	167	94	5	
3	79	167	96	5	
3	79	167	95	5	
3	80	167	93	5	
3	80	168	94	6	
3	69	168	94	6	
3	69	164	94	6	
3	69	163	95	6	
3	69	163	96	6	
3	67	163	99	6	
3	67	163	102	6	
3	63	161	102	6	
3	60	161	103	6	
3	59	158	104	6	
3	59	158	105	6	
3	57	158	104	6	
3	54	158	104	6	
